date,pheno,env,env_sd,year,site,pheno_sd,pheno_mis,value,lower,upper,mismatch_actual,mismatch_model,mismatch_model_upper,mismatch_model_lower,pred_error
2019-01-25,0.32768,-1.3100000000000003,0.01,2019,1,0.01,0,0.33067582160735176,0.28271267505841574,0.37863896815628784,0.32768,0.33067582160735176,0.37863896815628784,0.28271267505841574,0.002995821607351734
2019-01-26,0.32794,-2.3699999999999997,0.01,2019,1,0.01,0,0.33061311351664946,0.282669547613012,0.37855667942028703,0.32794,0.33061311351664946,0.37855667942028703,0.282669547613012,0.00267311351664945
2019-01-27,0.32715,3.825,0.01,2019,1,0.01,0,0.3305745900269693,0.2826510596132701,0.3784981204406686,0.32715,0.3305745900269693,0.3784981204406686,0.2826510596132701,0.003424590026969321
2019-01-28,0.32723,6.56,0.01,2019,1,0.01,0,0.3305632424761791,0.28266105956401244,0.37846542538834577,0.32723,0.3305632424761791,0.37846542538834577,0.28266105956401244,0.0033332424761790547
2019-01-29,0.32514,1.4300000000000002,0.01,2019,1,0.01,0,0.3305786009040474,0.2826987163834963,0.3784584854245985,0.32514,0.3305786009040474,0.3784584854245985,0.2826987163834963,0.005438600904047408
2019-01-30,0.32407,-0.8300000000000001,0.01,2019,1,0.01,0,0.3306198851782356,0.2827621919955476,0.37847757836092355,0.32407,0.3306198851782356,0.37847757836092355,0.2827621919955476,0.0065498851782355705
2019-01-31,0.32406,-5.375,0.01,2019,1,0.01,0,0.3306869643329649,0.28285119090106103,0.3785227377648688,0.32406,0.3306869643329649,0.3785227377648688,0.28285119090106103,0.006626964332964891
2019-02-01,0.32814,0,0.01,2019,1,0.01,0,0.33078211184822837,0.28296821157828994,0.37859601211816674,0.32814,0.33078211184822837,0.37859601211816674,0.28296821157828994,0.002642111848228379
2019-02-02,0.33005,4.19,0.01,2019,1,0.01,0,0.3309083902550892,0.28311753892718305,0.3786992415829954,0.33005,0.3309083902550892,0.3786992415829954,0.28311753892718305,8.583902550892142e-4
2019-02-03,0.33065,13.870000000000001,0.01,2019,1,0.01,0,0.33106665686622694,0.28329961469357173,0.37883369903888214,0.33065,0.33106665686622694,0.37883369903888214,0.28329961469357173,4.1665686622693876e-4
2019-02-04,0.33258,17.165,0.01,2019,1,0.01,0,0.33126382031700385,0.28352443285523155,0.3790032077787762,0.33258,0.33126382031700385,0.3790032077787762,0.28352443285523155,-0.0013161796829961325
2019-02-05,0.33296,7.77,0.01,2019,1,0.01,0,0.33149419121966073,0.28378322002089007,0.3792051624184314,0.33296,0.33149419121966073,0.3792051624184314,0.28378322002089007,-0.0014658087803392505
2019-02-06,0.33241,-0.5499999999999998,0.01,2019,1,0.01,0,0.3317547089835549,0.28407096228891976,0.37943845567819,0.33241,0.3317547089835549,0.37943845567819,0.28407096228891976,-6.552910164450698e-4
2019-02-07,0.32854,-1.605,0.01,2019,1,0.01,0,0.3320473942364327,0.28439060839761576,0.37970418007524964,0.32854,0.3320473942364327,0.37970418007524964,0.28439060839761576,0.0035073942364327038
2019-02-08,0.32819,-6.375,0.01,2019,1,0.01,0,0.33237812464065464,0.2847499563192991,0.38000629296201016,0.32819,0.33237812464065464,0.38000629296201016,0.2847499563192991,0.004188124640654656
2019-02-09,0.32702,-7.1499999999999995,0.01,2019,1,0.01,0,0.3327441570166318,0.2851447598834602,0.38034355414980336,0.32702,0.3327441570166318,0.38034355414980336,0.2851447598834602,0.0057241570166318145
2019-02-10,0.32836,-2.9350000000000005,0.01,2019,1,0.01,0,0.33314817370894767,0.28557892636561016,0.38071742105228523,0.32836,0.33314817370894767,0.38071742105228523,0.28557892636561016,0.004788173708947685
2019-02-11,0.33149,2.635,0.01,2019,1,0.01,0,0.3335897226232275,0.28605151468254203,0.38112793056391303,0.33149,0.3335897226232275,0.38112793056391303,0.28605151468254203,0.0020997226232274957
2019-02-12,0.32816,5.26,0.01,2019,1,0.01,0,0.33407066487343,0.2865646957798742,0.38157663396698577,0.32816,0.33407066487343,0.38157663396698577,0.2865646957798742,0.005910664873430005
2019-02-13,0.32909,5.0649999999999995,0.01,2019,1,0.01,0,0.3345943303755851,0.2871229560968861,0.3820657046542841,0.32909,0.3345943303755851,0.3820657046542841,0.2871229560968861,0.00550433037558512
2019-02-14,0.32918,7.435,0.01,2019,1,0.01,0,0.33515850317968865,0.28772302615167233,0.38259398020770496,0.32918,0.33515850317968865,0.38259398020770496,0.28772302615167233,0.005978503179688677
2019-02-15,0.32854,11.125,0.01,2019,1,0.01,0,0.33576742198740944,0.28837012762822367,0.3831647163465952,0.32854,0.33576742198740944,0.3831647163465952,0.28837012762822367,0.007227421987409444
2019-02-16,0.3278,-2.71,0.01,2019,1,0.01,0,0.3364159574797294,0.28905693716504227,0.3837749777944166,0.3278,0.3364159574797294,0.3837749777944166,0.28905693716504227,0.00861595747972943
2019-02-17,0.32821,-4.31,0.01,2019,1,0.01,0,0.3370947014183357,0.28977148923442136,0.38441791360224997,0.32821,0.3370947014183357,0.38441791360224997,0.28977148923442136,0.008884701418335694
2019-02-18,0.32506,-0.3999999999999999,0.01,2019,1,0.01,0,0.3378057424414534,0.2905171540270314,0.38509433085587547,0.32506,0.3378057424414534,0.38509433085587547,0.2905171540270314,0.012745742441453378
2019-02-19,0.32782,-3.3,0.01,2019,1,0.01,0,0.33855606225384605,0.29130232947753204,0.3858097950301601,0.32782,0.33855606225384605,0.3858097950301601,0.29130232947753204,0.010736062253846046
2019-02-20,0.32931,-1.97,0.01,2019,1,0.01,0,0.3393482535720668,0.29213026411037174,0.3865662430337619,0.32931,0.3393482535720668,0.3865662430337619,0.29213026411037174,0.010038253572066835
2019-02-21,0.32738,-0.5599999999999998,0.01,2019,1,0.01,0,0.340183254892492,0.29300242494938405,0.3873640848356,0.32738,0.340183254892492,0.3873640848356,0.29300242494938405,0.012803254892492011
2019-02-22,0.3287,4.81,0.01,2019,1,0.01,0,0.34105483762841005,0.29391034875161304,0.3881993265052071,0.3287,0.34105483762841005,0.3881993265052071,0.29391034875161304,0.012354837628410054
2019-02-23,0.33087,3.9450000000000003,0.01,2019,1,0.01,0,0.3419678632881738,0.29486098190938365,0.389074744666964,0.33087,0.3419678632881738,0.389074744666964,0.29486098190938365,0.011097863288173804
2019-02-24,0.32746,8.08,0.01,2019,1,0.01,0,0.34291459976688554,0.2958431408145091,0.38998605871926206,0.32746,0.34291459976688554,0.38998605871926206,0.2958431408145091,0.015454599766885568
2019-02-25,0.32858,2.7199999999999998,0.01,2019,1,0.01,0,0.34389298057932527,0.29685471226864585,0.39093124889000463,0.32858,0.34389298057932527,0.39093124889000463,0.29685471226864585,0.015312980579325286
2019-02-26,0.32814,7.56,0.01,2019,1,0.01,0,0.3448951410732053,0.29788618184719784,0.39190410029921274,0.32814,0.3448951410732053,0.39190410029921274,0.29788618184719784,0.016755141073205304
2019-02-27,0.32945,0.16999999999999993,0.01,2019,1,0.01,0,0.3459265543437046,0.29894426427825194,0.3929088444091573,0.32945,0.3459265543437046,0.3929088444091573,0.29894426427825194,0.016476554343704597
2019-02-28,0.32874,-5.21,0.01,2019,1,0.01,0,0.3469790677047238,0.3000192623591996,0.39393887305024794,0.32874,0.3469790677047238,0.39393887305024794,0.3000192623591996,0.018239067704723833
2019-03-01,0.3295,-4.95,0.01,2019,1,0.01,0,0.3480492501555529,0.3011071311957638,0.394991369115342,0.3295,0.3480492501555529,0.394991369115342,0.3011071311957638,0.018549250155552865
2019-03-02,0.32782,-0.10499999999999998,0.01,2019,1,0.01,0,0.34913832309736376,0.3022093645055178,0.39606728168920974,0.32782,0.34913832309736376,0.39606728168920974,0.3022093645055178,0.021318323097363756
2019-03-03,0.31944,-0.7899999999999998,0.01,2019,1,0.01,0,0.3502572741941113,0.303340441741959,0.39717410664626357,0.31944,0.3502572741941113,0.39717410664626357,0.303340441741959,0.030817274194111288
2019-03-04,0.32582,-6.720000000000001,0.01,2019,1,0.01,0,0.3513917880262141,0.3044832145581022,0.39830036149432607,0.32582,0.3513917880262141,0.39830036149432607,0.3044832145581022,0.025571788026214126
