stats,fit,fit_clim,fore,fore_clim,change,type,roi
RMSE,0.011198930258101517,0.01063622587923983,0.013226957716561802,0.015275180591631897,0.0020280274584602853,EN,harvardbarn_EN_1000
nRMSE,0.11141966952059115,0.10582124766371755,0.1315967885839824,0.15197483457455654,0.020177119063391258,EN,harvardbarn_EN_1000
corr,0.9235398741198518,0.9325594035921051,0.9241502850686849,0.9144107531610893,6.104109488330733e-4,AG,harvardfarmnorth_AG_1000
R2,0.8529258990893118,0.8696670412280627,0.8540537493925316,0.8361470254966307,0.001127850303219824,AG,harvardfarmnorth_AG_1000
RMSE,0.01277872533758562,0.01200896629065158,0.012640862598832648,0.014102052986669184,-1.3786273875297274e-4,AG,harvardfarmnorth_AG_1000
nRMSE,0.1210032084917654,0.11371427223373165,0.11969777048602737,0.13353394901515708,-0.0013054380057380272,AG,harvardfarmnorth_AG_1000
corr,0.9207266867362912,0.9343936143862449,0.8878640110653142,0.8696839680497221,-0.032862675670977004,AG,harvardfarmsouth_AG_1000
R2,0.8477376316683884,0.8730914266057906,0.7883025021449883,0.7563502042827102,-0.05943512952340013,AG,harvardfarmsouth_AG_1000
RMSE,0.015972345304392305,0.013913428883299616,0.017563623668241785,0.020571813825430517,0.0015912783638494798,AG,harvardfarmsouth_AG_1000
nRMSE,0.12874278843493925,0.11214718921927082,0.14156905845565018,0.1658161418737951,0.012826270020710934,AG,harvardfarmsouth_AG_1000
corr,0.9310491075809523,0.9493736152312648,0.9062999802124263,0.880229493600031,-0.02474912736852597,DB,harvardfarmsouth_DB_1000
R2,0.8668524407272876,0.9013102612972819,0.8213796541330443,0.774803961403367,-0.045472786594243364,DB,harvardfarmsouth_DB_1000
RMSE,0.015758901790689322,0.013550892549628817,0.018624595063471985,0.021045012486281947,0.0028656932727826635,DB,harvardfarmsouth_DB_1000
nRMSE,0.10224770382880966,0.0879215865695083,0.12084103989444911,0.1365453146641403,0.018593336065639454,DB,harvardfarmsouth_DB_1000
corr,0.894000096050811,0.9183900940000715,0.8808921621857965,0.8366894379188324,-0.01310793386501452,EN,harvardhemlock2_EN_1000
R2,0.7992361717388593,0.8434403647574603,0.775971001400367,0.7000492155249319,-0.02326517033849229,EN,harvardhemlock2_EN_1000
RMSE,0.009274628929012164,0.008154353721990748,0.010991569915428318,0.011311385618262018,0.0017169409864161538,EN,harvardhemlock2_EN_1000
nRMSE,0.13103228508979664,0.11520499739677884,0.15528928798839134,0.15980765553394471,0.0242570028985947,EN,harvardhemlock2_EN_1000
corr,0.9857134343477139,0.9848487228458885,0.9705117876871588,0.9704798296378967,-0.015201646660555013,DB,harvardlph_DB_3000
R2,0.9716309746535647,0.969927006891178,0.941893130039725,0.9418310997340009,-0.02973784461383977,DB,harvardlph_DB_3000
RMSE,0.0054830018636334394,0.005629166754225128,0.007922580471680242,0.007971627345810651,0.0024395786080468026,DB,harvardlph_DB_3000
nRMSE,0.06061211096150739,0.062227897858458975,0.087580551419462,0.08812274247666828,0.026968440457954608,DB,harvardlph_DB_3000
corr,0.8519851301342591,0.8706244612048446,0.7984633378131895,0.8095625202577907,-0.05352179232106968,EN,howland1_EN_3000
R2,0.7258786619698905,0.7579869524482259,0.6375437018317796,0.6553914742061457,-0.08833496013811093,EN,howland1_EN_3000
RMSE,0.008112222969403731,0.007598207071910606,0.009387671975676982,0.009270353358707286,0.0012754490062732507,EN,howland1_EN_3000
nRMSE,0.1594884981402117,0.14938280654118047,0.18456417064479747,0.18225765489751658,0.025075672504585755,EN,howland1_EN_3000
corr,0.947691681344347,0.9579023921851054,0.9158988642395239,0.9181224439228786,-0.03179281710482307,DB,howland2_DB_2000
R2,0.8981195228892755,0.9175769929539477,0.8388707295152499,0.8429488220349194,-0.059248793374025666,DB,howland2_DB_2000
RMSE,0.01326998012679465,0.011924670527066524,0.015758074424821293,0.01598347874465866,0.002488094298026643,DB,howland2_DB_2000
nRMSE,0.10854434314455685,0.09754012569786287,0.12889618683087095,0.13073992462135114,0.020351843686314097,DB,howland2_DB_2000
corr,0.947094893698797,0.968318476873406,0.8551386310696598,0.8480227731374901,-0.09195626262913714,AG,humnokericea_AG_1000
R2,0.8969887376703356,0.9376406726544327,0.7312620783476917,0.7191426237597989,-0.16572665932264385,AG,humnokericea_AG_1000
RMSE,0.01551426081081253,0.012009006991216814,0.024376865698463427,0.024536630248757255,0.008862604887650897,AG,humnokericea_AG_1000
