date,pheno,env,env_sd,year,site,pheno_sd,pheno_mis,value,lower,upper,mismatch_actual,mismatch_model,mismatch_model_upper,mismatch_model_lower,pred_error
2020-03-27,0.32759,2.95,0.01,2020,1,0.01,0,0.32894429375278295,0.3119141588347248,0.3459744286708411,0.32759,0.32894429375278295,0.3459744286708411,0.3119141588347248,0.0013542937527829535
2020-03-28,0.32028,2.9899999999999998,0.01,2020,1,0.01,0,0.3288347437221422,0.31181304745724336,0.3458564399870411,0.32028,0.3288347437221422,0.3458564399870411,0.31181304745724336,0.00855474372214221
2020-03-29,0.32099,4.54,0.01,2020,1,0.01,0,0.3287518217235419,0.3117379442351003,0.3457656992119834,0.32099,0.3287518217235419,0.3457656992119834,0.3117379442351003,0.007761821723541895
2020-03-30,0.32755,5.555,0.01,2020,1,0.01,0,0.3286983372408598,0.3116917515833756,0.345704922898344,0.32755,0.3286983372408598,0.345704922898344,0.3116917515833756,0.0011483372408597758
2020-03-31,0.3243,5.335,0.01,2020,1,0.01,0,0.3286770443248962,0.3116773444150496,0.3456767442347428,0.3243,0.3286770443248962,0.3456767442347428,0.3116773444150496,0.004377044324896218
2020-04-01,0.32865,2.04,0.01,2020,1,0.01,0,0.3286898978660675,0.3116968412334505,0.3456829544986845,0.32865,0.3286898978660675,0.3456829544986845,0.3116968412334505,3.989786606750645e-5
2020-04-02,0.33044,4.984999999999999,0.01,2020,1,0.01,0,0.3287389528618628,0.31175243571721395,0.34572547000651166,0.33044,0.3287389528618628,0.34572547000651166,0.31175243571721395,-0.001701047138137235
2020-04-03,0.32915,4.66,0.01,2020,1,0.01,0,0.32882595403918763,0.3118460246636458,0.3458058834147295,0.32915,0.32882595403918763,0.3458058834147295,0.3118460246636458,-3.2404596081236914e-4
2020-04-04,0.32866,6.365,0.01,2020,1,0.01,0,0.32895294443538875,0.311979771574072,0.3459261172967055,0.32866,0.32895294443538875,0.3459261172967055,0.311979771574072,2.9294443538874226e-4
2020-04-05,0.33051,5.09,0.01,2020,1,0.01,0,0.3291224112113518,0.3121561936453931,0.34608862877731045,0.33051,0.3291224112113518,0.34608862877731045,0.3121561936453931,-0.001387588788648253
2020-04-06,0.33155,4.605,0.01,2020,1,0.01,0,0.3293361957668807,0.3123771910504051,0.3462952004833563,0.33155,0.3293361957668807,0.3462952004833563,0.3123771910504051,-0.0022138042331192875
2020-04-07,0.33029,4.6450000000000005,0.01,2020,1,0.01,0,0.32959612871485383,0.3126445914861574,0.34654766594355024,0.33029,0.32959612871485383,0.34654766594355024,0.3126445914861574,-6.938712851461415e-4
2020-04-08,0.33014,10.73,0.01,2020,1,0.01,0,0.3299035086903398,0.31295970039167315,0.34684731698900645,0.33014,0.3299035086903398,0.34684731698900645,0.31295970039167315,-2.3649130966019172e-4
2020-04-09,0.32866,10.555,0.01,2020,1,0.01,0,0.33025976190729006,0.31332391769153634,0.3471956061230438,0.32866,0.33025976190729006,0.3471956061230438,0.31332391769153634,0.0015997619072900537
2020-04-10,0.33250999999999997,4.01,0.01,2020,1,0.01,0,0.3306656839983071,0.3137379963998777,0.3475933715967364,0.33250999999999997,0.3306656839983071,0.3475933715967364,0.3137379963998777,-0.0018443160016928806
2020-04-11,0.33376,3.75,0.01,2020,1,0.01,0,0.3311225604955305,0.31420312417982776,0.34804199681123327,0.33376,0.3311225604955305,0.34804199681123327,0.31420312417982776,-0.0026374395044694854
2020-04-12,0.3331,6.0200000000000005,0.01,2020,1,0.01,0,0.3316310037222924,0.31471983477513293,0.3485421726694518,0.3331,0.3316310037222924,0.3485421726694518,0.31471983477513293,-0.0014689962777076349
2020-04-13,0.3321,4.949999999999999,0.01,2020,1,0.01,0,0.33219165125755856,0.31528866225340035,0.3490946402617167,0.3321,0.33219165125755856,0.3490946402617167,0.31528866225340035,9.165125755855597e-5
2020-04-14,0.33095,1.74,0.01,2020,1,0.01,0,0.33280502413820073,0.31590999297098554,0.3497000553054159,0.33095,0.33280502413820073,0.3497000553054159,0.31590999297098554,0.0018550241382007115
2020-04-15,0.33175,-0.72,0.01,2020,1,0.01,0,0.333471164339822,0.3165837782061463,0.3503585504734976,0.33175,0.333471164339822,0.3503585504734976,0.3165837782061463,0.0017211643398220011
2020-04-16,0.33357,-2.8200000000000003,0.01,2020,1,0.01,0,0.3341900219877743,0.31730981566237326,0.35107022831317536,0.33357,0.3341900219877743,0.35107022831317536,0.31730981566237326,6.200219877743329e-4
2020-04-17,0.33214,0.22999999999999998,0.01,2020,1,0.01,0,0.3349618360236252,0.31808817414807544,0.351835497899175,0.33214,0.3349618360236252,0.351835497899175,0.31808817414807544,0.002821836023625235
2020-04-18,0.33377,1.5099999999999998,0.01,2020,1,0.01,0,0.3357857506413441,0.3189179307530997,0.3526535705295885,0.33377,0.3357857506413441,0.3526535705295885,0.3189179307530997,0.0020157506413440718
2020-04-19,0.33358,6.76,0.01,2020,1,0.01,0,0.33666045953301954,0.31979776788056563,0.35352315118547345,0.33358,0.33666045953301954,0.35352315118547345,0.31979776788056563,0.0030804595330195528
2020-04-20,0.33497,5.665,0.01,2020,1,0.01,0,0.33758534453369354,0.32072698220076534,0.35444370686662174,0.33497,0.33758534453369354,0.35444370686662174,0.32072698220076534,0.0026153445336935532
2020-04-21,0.33443,7.795000000000001,0.01,2020,1,0.01,0,0.3385599882890493,0.3217050211070179,0.35541495547108076,0.33443,0.3385599882890493,0.35541495547108076,0.3217050211070179,0.004129988289049313
2020-04-22,0.33366,2.79,0.01,2020,1,0.01,0,0.3395834217216126,0.32273091958156097,0.3564359238616642,0.33366,0.3395834217216126,0.3564359238616642,0.32273091958156097,0.005923421721612587
2020-04-23,0.33444,2.4050000000000002,0.01,2020,1,0.01,0,0.3406537100541129,0.32380277075536434,0.3575046493528614,0.33444,0.3406537100541129,0.3575046493528614,0.32380277075536434,0.006213710054112864
2020-04-24,0.33456,3.29,0.01,2020,1,0.01,0,0.341769585505341,0.3249192397019183,0.3586199313087637,0.33456,0.341769585505341,0.3586199313087637,0.3249192397019183,0.007209585505340954
2020-04-25,0.33403,5.99,0.01,2020,1,0.01,0,0.3429302238378163,0.3260795903003266,0.35978085737530596,0.33403,0.3429302238378163,0.35978085737530596,0.3260795903003266,0.008900223837816301
2020-04-26,0.33538,5.66,0.01,2020,1,0.01,0,0.3441329856843886,0.3272812693200278,0.36098470204874933,0.33538,0.3441329856843886,0.36098470204874933,0.3272812693200278,0.008752985684388592
