site,lower,upper,range
104,-8.23,11.06,19.29
105,-8.23,11.06,19.29
106,-8.23,11.06,19.29
107,-8.23,11.06,19.29
108,-8.23,11.06,19.29
109,-8.23,11.06,19.29
110,-8.23,11.06,19.29
111,-8.23,11.06,19.29
112,-8.23,11.06,19.29
113,-8.23,11.06,19.29
114,-8.23,11.06,19.29
115,-8.23,11.06,19.29
116,-8.23,11.06,19.29
117,-8.23,11.06,19.29
118,-8.23,11.06,19.29
119,-8.23,11.06,19.29
120,-8.23,11.06,19.29
121,-8.23,11.06,19.29
122,-8.23,11.06,19.29
123,-8.23,11.06,19.29
124,-8.23,11.06,19.29
125,-8.23,11.06,19.29
126,-8.23,11.06,19.29
127,-8.23,11.06,19.29
128,-8.23,11.06,19.29
129,-8.23,11.06,19.29
130,-8.23,11.06,19.29
131,-8.23,11.06,19.29
132,-8.23,11.06,19.29
133,-8.23,11.06,19.29
134,-8.23,11.06,19.29
135,-8.23,11.06,19.29
136,-8.23,11.06,19.29
137,-8.23,11.06,19.29
138,-8.23,11.06,19.29
139,-8.23,11.06,19.29
140,-8.23,11.06,19.29
141,-8.23,11.06,19.29
142,-8.23,11.06,19.29
143,-8.23,11.06,19.29
144,-8.23,11.06,19.29
145,-8.23,11.06,19.29
146,-8.23,11.06,19.29
147,-8.23,11.06,19.29
148,-8.23,11.06,19.29
149,-8.23,11.06,19.29
150,-8.23,11.06,19.29
151,-8.23,11.06,19.29
152,-8.23,11.06,19.29
153,-8.23,11.06,19.29
154,-8.23,11.06,19.29
155,-8.23,11.06,19.29
156,-8.23,11.06,19.29
157,-8.23,11.06,19.29
158,-8.23,11.06,19.29
159,-8.23,11.06,19.29
160,-8.23,11.06,19.29
161,-8.23,11.06,19.29
162,-8.23,11.06,19.29
163,-8.23,11.06,19.29
164,-8.23,11.06,19.29
165,-8.23,11.06,19.29
166,-8.23,11.06,19.29
167,-8.23,11.06,19.29
168,-8.23,11.06,19.29
169,-8.23,11.06,19.29
170,-8.23,11.06,19.29
171,-8.23,11.06,19.29
172,-8.23,11.06,19.29
173,-8.23,11.06,19.29
174,-8.23,11.06,19.29
175,-8.23,11.06,19.29
176,-8.23,11.06,19.29
177,-8.23,11.06,19.29
178,-8.23,11.06,19.29
179,-8.23,11.06,19.29
180,-8.23,11.06,19.29
181,-8.23,11.06,19.29
182,-8.23,11.06,19.29
183,-8.23,11.06,19.29
184,-8.23,11.06,19.29
185,-8.23,11.06,19.29
186,-8.23,11.06,19.29
187,-8.23,11.06,19.29
188,-8.23,11.06,19.29
189,-8.23,11.06,19.29
190,-8.23,11.06,19.29
191,-8.23,11.06,19.29
192,-8.23,11.06,19.29
193,-8.23,11.06,19.29
194,-8.23,11.06,19.29
195,-8.23,11.06,19.29
196,-8.23,11.06,19.29
197,-8.23,11.06,19.29
198,-8.23,11.06,19.29
199,-8.23,11.06,19.29
200,-8.23,11.06,19.29
201,-8.23,11.06,19.29
202,-8.23,11.06,19.29
203,-8.23,11.06,19.29
204,-8.23,11.06,19.29
205,-8.23,11.06,19.29
206,-8.23,11.06,19.29
207,-8.23,11.06,19.29
208,-8.23,11.06,19.29
209,-8.23,11.06,19.29
210,-8.23,11.06,19.29
211,-8.23,11.06,19.29
212,-8.23,11.06,19.29
213,-8.23,11.06,19.29
214,-8.23,11.06,19.29
215,-8.23,11.06,19.29
216,-8.23,11.06,19.29
217,-8.23,11.06,19.29
218,-8.23,11.06,19.29
219,-8.23,11.06,19.29
220,-8.23,11.06,19.29
221,-8.23,11.06,19.29
222,-8.23,11.06,19.29
223,-8.23,11.06,19.29
224,-8.23,11.06,19.29
225,-8.23,11.06,19.29
226,-8.23,11.06,19.29
227,-8.23,11.06,19.29
228,-8.23,11.06,19.29
229,-8.23,11.06,19.29
230,-8.23,11.06,19.29
231,-8.23,11.06,19.29
232,-8.23,11.06,19.29
233,-8.23,11.06,19.29
234,-8.23,11.06,19.29
235,-8.23,11.06,19.29
236,-8.23,11.06,19.29
237,-8.23,11.06,19.29
238,-8.23,11.06,19.29
239,-8.23,11.06,19.29
240,-8.23,11.06,19.29
241,-8.23,11.06,19.29
242,-8.23,11.06,19.29
243,-8.23,11.06,19.29
244,-8.23,11.06,19.29
245,-8.23,11.06,19.29
246,-8.23,11.06,19.29
247,-8.23,11.06,19.29
248,-8.23,11.06,19.29
249,-8.23,11.06,19.29
250,-8.23,11.06,19.29
251,-8.23,11.06,19.29
252,-8.23,11.06,19.29
253,-8.23,11.06,19.29
254,-8.23,11.06,19.29
255,-8.23,11.06,19.29
256,-8.23,11.06,19.29
257,-8.23,11.06,19.29
258,-8.23,11.06,19.29
259,-8.23,11.06,19.29
260,-8.23,11.06,19.29
261,-8.23,11.06,19.29
262,-8.23,11.06,19.29
263,-8.23,11.06,19.29
264,-8.23,11.06,19.29
265,-8.23,11.06,19.29
266,-8.23,11.06,19.29
267,-8.23,11.06,19.29
268,-8.23,11.06,19.29
269,-8.23,11.06,19.29
270,-8.23,11.06,19.29
271,-8.23,11.06,19.29
272,-8.23,11.06,19.29
273,-8.23,11.06,19.29
274,-8.23,11.06,19.29
275,-8.23,11.06,19.29
276,-8.23,11.06,19.29
277,-8.23,11.06,19.29
278,-8.23,11.06,19.29
279,-8.23,11.06,19.29
280,-8.23,11.06,19.29
281,-8.23,11.06,19.29
282,-8.23,11.06,19.29
283,-8.23,11.06,19.29
284,-8.23,11.06,19.29
285,-8.23,11.06,19.29
286,-8.23,11.06,19.29
287,-8.23,11.06,19.29
288,-8.23,11.06,19.29
289,-8.23,11.06,19.29
290,-8.23,11.06,19.29
291,-8.23,11.06,19.29
292,-8.23,11.06,19.29
293,-8.23,11.06,19.29
294,-8.23,11.06,19.29
295,-8.23,11.06,19.29
296,-8.23,11.06,19.29
297,-8.23,11.06,19.29
298,-8.23,11.06,19.29
299,-8.23,11.06,19.29
300,-8.23,11.06,19.29
301,-8.23,11.06,19.29
302,-8.23,11.06,19.29
303,-8.23,11.06,19.29
304,-8.23,11.06,19.29
305,-8.23,11.06,19.29
306,-8.23,11.06,19.29
307,-8.23,11.06,19.29
308,-8.23,11.06,19.29
309,-8.23,11.06,19.29
310,-8.23,11.06,19.29
311,-8.23,11.06,19.29
312,-8.23,11.06,19.29
313,-8.23,11.06,19.29
314,-8.23,11.06,19.29
315,-8.23,11.06,19.29
316,-8.23,11.06,19.29
317,-8.23,11.06,19.29
318,-8.23,11.06,19.29
319,-8.23,11.06,19.29
320,-8.23,11.06,19.29
321,-8.23,11.06,19.29
322,-8.23,11.06,19.29
323,-8.23,11.06,19.29
324,-8.23,11.06,19.29
325,-8.23,11.06,19.29
326,-8.23,11.06,19.29
327,-8.23,11.06,19.29
328,-8.23,11.06,19.29
329,-8.23,11.06,19.29
330,-8.23,11.06,19.29
331,-8.23,11.06,19.29
332,-8.23,11.06,19.29
333,-8.23,11.06,19.29
334,-8.23,11.06,19.29
335,-8.23,11.06,19.29
336,-8.23,11.06,19.29
337,-8.23,11.06,19.29
338,-8.23,11.06,19.29
339,-8.23,11.06,19.29
340,-8.23,11.06,19.29
341,-8.23,11.06,19.29
342,-8.23,11.06,19.29
343,-8.23,11.06,19.29
344,-8.23,11.06,19.29
345,-8.23,11.06,19.29
346,-8.23,11.06,19.29
347,-8.23,11.06,19.29
348,-8.23,11.06,19.29
349,-8.23,11.06,19.29
350,-8.23,11.06,19.29
351,-8.23,11.06,19.29
352,-8.23,11.06,19.29
353,-8.23,11.06,19.29
354,-8.23,11.06,19.29
355,-8.23,11.06,19.29
356,-8.23,11.06,19.29
357,-8.23,11.06,19.29
358,-8.23,11.06,19.29
359,-8.23,11.06,19.29
360,-8.23,11.06,19.29
361,-8.23,11.06,19.29
362,-8.23,11.06,19.29
363,-8.23,11.06,19.29
364,-8.23,11.06,19.29
365,-8.23,11.06,19.29
366,-8.23,11.06,19.29
367,-8.23,11.06,19.29
368,-8.23,11.06,19.29
369,-8.23,11.06,19.29
370,-8.23,11.06,19.29
371,-8.23,11.06,19.29
372,-8.23,11.06,19.29
373,-8.23,11.06,19.29
374,-8.23,11.06,19.29
375,-8.23,11.06,19.29
376,-8.23,11.06,19.29
377,-8.23,11.06,19.29
378,-8.23,11.06,19.29
379,-8.23,11.06,19.29
380,-8.23,11.06,19.29
381,-8.23,11.06,19.29
382,-8.23,11.06,19.29
383,-8.23,11.06,19.29
384,-8.23,11.06,19.29
385,-8.23,11.06,19.29
386,-8.23,11.06,19.29
387,-8.23,11.06,19.29
388,-8.23,11.06,19.29
389,-8.23,11.06,19.29
390,-8.23,11.06,19.29
391,-8.23,11.06,19.29
392,-8.23,11.06,19.29
393,-8.23,11.06,19.29
394,-8.23,11.06,19.29
395,-8.23,11.06,19.29
396,-8.23,11.06,19.29
397,-8.23,11.06,19.29
398,-8.23,11.06,19.29
399,-8.23,11.06,19.29
400,-8.23,11.06,19.29
401,-8.23,11.06,19.29
402,-8.23,11.06,19.29
403,-8.23,11.06,19.29
404,-8.23,11.06,19.29
405,-8.23,11.06,19.29
406,-8.23,11.06,19.29
407,-8.23,11.06,19.29
408,-8.23,11.06,19.29
409,-8.23,11.06,19.29
410,-8.23,11.06,19.29
411,-8.23,11.06,19.29
412,-8.23,11.06,19.29
413,-8.23,11.06,19.29
414,-8.23,11.06,19.29
415,-8.23,11.06,19.29
416,-8.23,11.06,19.29
417,-8.23,11.06,19.29
418,-8.23,11.06,19.29
419,-8.23,11.06,19.29
420,-8.23,11.06,19.29
421,-8.23,11.06,19.29
422,-8.23,11.06,19.29
423,-8.23,11.06,19.29
424,-8.23,11.06,19.29
425,-8.23,11.06,19.29
426,-8.23,11.06,19.29
427,-8.23,11.06,19.29
428,-8.23,11.06,19.29
429,-8.23,11.06,19.29
430,-8.23,11.06,19.29
431,-8.23,11.06,19.29
432,-8.23,11.06,19.29
433,-8.23,11.06,19.29
434,-8.23,11.06,19.29
435,-8.23,11.06,19.29
436,-8.23,11.06,19.29
437,-8.23,11.06,19.29
438,-8.23,11.06,19.29
439,-8.23,11.06,19.29
440,-8.23,11.06,19.29
441,-8.23,11.06,19.29
442,-8.23,11.06,19.29
443,-8.23,11.06,19.29
444,-8.23,11.06,19.29
445,-8.23,11.06,19.29
446,-8.23,11.06,19.29
447,-8.23,11.06,19.29
448,-8.23,11.06,19.29
449,-8.23,11.06,19.29
450,-8.23,11.06,19.29
451,-8.23,11.06,19.29
452,-8.23,11.06,19.29
453,-8.23,11.06,19.29
454,-8.23,11.06,19.29
455,-8.23,11.06,19.29
456,-8.23,11.06,19.29
457,-8.23,11.06,19.29
458,-8.23,11.06,19.29
459,-8.23,11.06,19.29
460,-8.23,11.06,19.29
461,-8.23,11.06,19.29
462,-8.23,11.06,19.29
463,-8.23,11.06,19.29
464,-8.23,11.06,19.29
465,-8.23,11.06,19.29
466,-8.23,11.06,19.29
467,-8.23,11.06,19.29
468,-8.23,11.06,19.29
469,-8.23,11.06,19.29
470,-8.23,11.06,19.29
471,-8.23,11.06,19.29
472,-8.23,11.06,19.29
473,-8.23,11.06,19.29
474,-8.23,11.06,19.29
475,-8.23,11.06,19.29
476,-8.23,11.06,19.29
477,-8.23,11.06,19.29
478,-8.23,11.06,19.29
479,-8.23,11.06,19.29
480,-8.23,11.06,19.29
481,-8.23,11.06,19.29
482,-8.23,11.06,19.29
483,-8.23,11.06,19.29
484,-8.23,11.06,19.29
485,-8.23,11.06,19.29
486,-8.23,11.06,19.29
487,-8.23,11.06,19.29
488,-8.23,11.06,19.29
489,-8.23,11.06,19.29
490,-8.23,11.06,19.29
491,-8.23,11.06,19.29
492,-8.23,11.06,19.29
493,-8.23,11.06,19.29
494,-8.23,11.06,19.29
495,-8.23,11.06,19.29
496,-8.23,11.06,19.29
497,-8.23,11.06,19.29
498,-8.23,11.06,19.29
499,-8.23,11.06,19.29
500,-8.23,11.06,19.29
501,-8.23,11.06,19.29
502,-8.23,11.06,19.29
503,-8.23,11.06,19.29
504,-8.23,11.06,19.29
505,-8.23,11.06,19.29
506,-8.23,11.06,19.29
507,-8.23,11.06,19.29
508,-8.23,11.06,19.29
509,-8.23,11.06,19.29
510,-8.23,11.06,19.29
511,-8.23,11.06,19.29
512,-8.23,11.06,19.29
513,-8.23,11.06,19.29
514,-8.23,11.06,19.29
515,-8.23,11.06,19.29
516,-8.23,11.06,19.29
517,-8.23,11.06,19.29
518,-8.23,11.06,19.29
519,-8.23,11.06,19.29
520,-8.23,11.06,19.29
521,-8.23,11.06,19.29
522,-8.23,11.06,19.29
523,-8.23,11.06,19.29
524,-8.23,11.06,19.29
525,-8.23,11.06,19.29
526,-8.23,11.06,19.29
527,-8.23,11.06,19.29
528,-8.23,11.06,19.29
529,-8.23,11.06,19.29
530,-8.23,11.06,19.29
531,-8.23,11.06,19.29
532,-8.23,11.06,19.29
533,-8.23,11.06,19.29
534,-8.23,11.06,19.29
535,-8.23,11.06,19.29
536,-8.23,11.06,19.29
537,-8.23,11.06,19.29
538,-8.23,11.06,19.29
539,-8.23,11.06,19.29
540,-8.23,11.06,19.29
541,-8.23,11.06,19.29
542,-8.23,11.06,19.29
543,-8.23,11.06,19.29
544,-8.23,11.06,19.29
545,-8.23,11.06,19.29
546,-8.23,11.06,19.29
547,-8.23,11.06,19.29
548,-8.23,11.06,19.29
549,-8.23,11.06,19.29
550,-8.23,11.06,19.29
551,-8.23,11.06,19.29
552,-8.23,11.06,19.29
553,-8.23,11.06,19.29
554,-8.23,11.06,19.29
555,-8.23,11.06,19.29
556,-8.23,11.06,19.29
557,-8.23,11.06,19.29
558,-8.23,11.06,19.29
559,-8.23,11.06,19.29
560,-8.23,11.06,19.29
561,-8.23,11.06,19.29
562,-8.23,11.06,19.29
563,-8.23,11.06,19.29
564,-8.23,11.06,19.29
565,-8.23,11.06,19.29
566,-8.23,11.06,19.29
567,-8.23,11.06,19.29
568,-8.23,11.06,19.29
569,-8.23,11.06,19.29
570,-8.23,11.06,19.29
571,-8.23,11.06,19.29
572,-8.23,11.06,19.29
573,-8.23,11.06,19.29
574,-8.23,11.06,19.29
575,-8.23,11.06,19.29
576,-8.23,11.06,19.29
577,-8.23,11.06,19.29
578,-8.23,11.06,19.29
579,-8.23,11.06,19.29
580,-8.23,11.06,19.29
581,-8.23,11.06,19.29
582,-8.23,11.06,19.29
583,-8.23,11.06,19.29
584,-8.23,11.06,19.29
585,-8.23,11.06,19.29
586,-8.23,11.06,19.29
587,-8.23,11.06,19.29
588,-8.23,11.06,19.29
589,-8.23,11.06,19.29
590,-8.23,11.06,19.29
591,-8.23,11.06,19.29
592,-8.23,11.06,19.29
593,-8.23,11.06,19.29
594,-8.23,11.06,19.29
595,-8.23,11.06,19.29
596,-8.23,11.06,19.29
597,-8.23,11.06,19.29
598,-8.23,11.06,19.29
599,-8.23,11.06,19.29
600,-8.23,11.06,19.29
601,-8.23,11.06,19.29
602,-8.23,11.06,19.29
603,-8.23,11.06,19.29
604,-8.23,11.06,19.29
605,-8.23,11.06,19.29
606,-8.23,11.06,19.29
607,-8.23,11.06,19.29
608,-8.23,11.06,19.29
609,-8.23,11.06,19.29
610,-8.23,11.06,19.29
611,-8.23,11.06,19.29
612,-8.23,11.06,19.29
613,-8.23,11.06,19.29
614,-8.23,11.06,19.29
615,-8.23,11.06,19.29
616,-8.23,11.06,19.29
617,-8.23,11.06,19.29
618,-8.23,11.06,19.29
619,-8.23,11.06,19.29
620,-8.23,11.06,19.29
621,-8.23,11.06,19.29
622,-8.23,11.06,19.29
623,-8.23,11.06,19.29
624,-8.23,11.06,19.29
625,-8.23,11.06,19.29
626,-8.23,11.06,19.29
627,-8.23,11.06,19.29
628,-8.23,11.06,19.29
629,-8.23,11.06,19.29
630,-8.23,11.06,19.29
631,-8.23,11.06,19.29
632,-8.23,11.06,19.29
633,-8.23,11.06,19.29
634,-8.23,11.06,19.29
635,-8.23,11.06,19.29
636,-8.23,11.06,19.29
637,-8.23,11.06,19.29
638,-8.23,11.06,19.29
639,-8.23,11.06,19.29
640,-8.23,11.06,19.29
641,-8.23,11.06,19.29
642,-8.23,11.06,19.29
643,-8.23,11.06,19.29
644,-8.23,11.06,19.29
645,-8.23,11.06,19.29
646,-8.23,11.06,19.29
647,-8.23,11.06,19.29
648,-8.23,11.06,19.29
649,-8.23,11.06,19.29
650,-8.23,11.06,19.29
651,-8.23,11.06,19.29
652,-8.23,11.06,19.29
653,-8.23,11.06,19.29
654,-8.23,11.06,19.29
655,-8.23,11.06,19.29
656,-8.23,11.06,19.29
657,-8.23,11.06,19.29
658,-8.23,11.06,19.29
659,-8.23,11.06,19.29
660,-8.23,11.06,19.29
661,-8.23,11.06,19.29
662,-8.23,11.06,19.29
663,-8.23,11.06,19.29
664,-8.23,11.06,19.29
665,-8.23,11.06,19.29
666,-8.23,11.06,19.29
667,-8.23,11.06,19.29
668,-8.23,11.06,19.29
669,-8.23,11.06,19.29
670,-8.23,11.06,19.29
671,-8.23,11.06,19.29
672,-8.23,11.06,19.29
673,-8.23,11.06,19.29
674,-8.23,11.06,19.29
675,-8.23,11.06,19.29
676,-8.23,11.06,19.29
677,-8.23,11.06,19.29
678,-8.23,11.06,19.29
679,-8.23,11.06,19.29
680,-8.23,11.06,19.29
681,-8.23,11.06,19.29
682,-8.23,11.06,19.29
683,-8.23,11.06,19.29
684,-8.23,11.06,19.29
685,-8.23,11.06,19.29
686,-8.23,11.06,19.29
687,-8.23,11.06,19.29
688,-8.23,11.06,19.29
689,-8.23,11.06,19.29
690,-8.23,11.06,19.29
691,-8.23,11.06,19.29
692,-8.23,11.06,19.29
693,-8.23,11.06,19.29
694,-8.23,11.06,19.29
695,-8.23,11.06,19.29
696,-8.23,11.06,19.29
697,-8.23,11.06,19.29
698,-8.23,11.06,19.29
699,-8.23,11.06,19.29
700,-8.23,11.06,19.29
701,-8.23,11.06,19.29
702,-8.23,11.06,19.29
703,-8.23,11.06,19.29
704,-8.23,11.06,19.29
705,-8.23,11.06,19.29
706,-8.23,11.06,19.29
707,-8.23,11.06,19.29
708,-8.23,11.06,19.29
709,-8.23,11.06,19.29
710,-8.23,11.06,19.29
711,-8.23,11.06,19.29
712,-8.23,11.06,19.29
713,-8.23,11.06,19.29
714,-8.23,11.06,19.29
715,-8.23,11.06,19.29
716,-8.23,11.06,19.29
717,-8.23,11.06,19.29
718,-8.23,11.06,19.29
719,-8.23,11.06,19.29
720,-8.23,11.06,19.29
721,-8.23,11.06,19.29
722,-8.23,11.06,19.29
723,-8.23,11.06,19.29
724,-8.23,11.06,19.29
725,-8.23,11.06,19.29
726,-8.23,11.06,19.29
727,-8.23,11.06,19.29
728,-8.23,11.06,19.29
729,-8.23,11.06,19.29
730,-8.23,11.06,19.29
731,-8.23,11.06,19.29
732,-8.23,11.06,19.29
733,-8.23,11.06,19.29
734,-8.23,11.06,19.29
735,-8.23,11.06,19.29
736,-8.23,11.06,19.29
737,-8.23,11.06,19.29
738,-8.23,11.06,19.29
739,-8.23,11.06,19.29
740,-8.23,11.06,19.29
741,-8.23,11.06,19.29
742,-8.23,11.06,19.29
743,-8.23,11.06,19.29
744,-8.23,11.06,19.29
745,-8.23,11.06,19.29
746,-8.23,11.06,19.29
747,-8.23,11.06,19.29
748,-8.23,11.06,19.29
749,-8.23,11.06,19.29
750,-8.23,11.06,19.29
751,-8.23,11.06,19.29
752,-8.23,11.06,19.29
753,-8.23,11.06,19.29
754,-8.23,11.06,19.29
755,-8.23,11.06,19.29
756,-8.23,11.06,19.29
757,-8.23,11.06,19.29
758,-8.23,11.06,19.29
759,-8.23,11.06,19.29
760,-8.23,11.06,19.29
761,-8.23,11.06,19.29
762,-8.23,11.06,19.29
763,-8.23,11.06,19.29
764,-8.23,11.06,19.29
765,-8.23,11.06,19.29
766,-8.23,11.06,19.29
767,-8.23,11.06,19.29
768,-8.23,11.06,19.29
769,-8.23,11.06,19.29
770,-8.23,11.06,19.29
771,-8.23,11.06,19.29
772,-8.23,11.06,19.29
773,-8.23,11.06,19.29
774,-8.23,11.06,19.29
775,-8.23,11.06,19.29
776,-8.23,11.06,19.29
777,-8.23,11.06,19.29
778,-8.23,11.06,19.29
779,-8.23,11.06,19.29
780,-8.23,11.06,19.29
781,-8.23,11.06,19.29
782,-8.23,11.06,19.29
783,-8.23,11.06,19.29
784,-8.23,11.06,19.29
785,-8.23,11.06,19.29
786,-8.23,11.06,19.29
787,-8.23,11.06,19.29
788,-8.23,11.06,19.29
789,-8.23,11.06,19.29
790,-8.23,11.06,19.29
791,-8.23,11.06,19.29
