date,pheno,env,env_sd,year,site,pheno_sd,pheno_mis,value,lower,upper,mismatch_actual,mismatch_model,mismatch_model_upper,mismatch_model_lower,pred_error
2017-07-30,0.42463,21.905,0.01,2017,1,0.01,0,0.41571037187630816,0.3961579688384082,0.4352627749142081,0.42463,0.41571037187630816,0.4352627749142081,0.3961579688384082,-0.008919628123691847
2017-07-31,0.41829,22.23,0.01,2017,1,0.01,0,0.41463428102882877,0.3950726126138785,0.434195949443779,0.41829,0.41463428102882877,0.434195949443779,0.3950726126138785,-0.003655718971171229
2017-08-01,0.43797,23.08,0.01,2017,1,0.01,0,0.4134521331597129,0.39383581476493246,0.43306845155449336,0.43797,0.4134521331597129,0.43306845155449336,0.39383581476493246,-0.024517866840287117
2017-08-02,0.41695,23.585,0.01,2017,1,0.01,0,0.4121293187207501,0.39246947146762184,0.4317891659738783,0.41695,0.4121293187207501,0.4317891659738783,0.39246947146762184,-0.004820681279249894
2017-08-03,0.42291,22.645000000000003,0.01,2017,1,0.01,0,0.41063177826556535,0.3909792804954679,0.4302842760356629,0.42291,0.41063177826556535,0.4302842760356629,0.3909792804954679,-0.012278221734434658
2017-08-04,0.41147,17.805,0.01,2017,1,0.01,0,0.40911772999215135,0.38951934469874816,0.42871611528555453,0.41147,0.40911772999215135,0.42871611528555453,0.38951934469874816,-0.002352270007848656
2017-08-05,0.41123,18.355,0.01,2017,1,0.01,0,0.4077081542458981,0.3881488386251014,0.42726746986669484,0.41123,0.4077081542458981,0.42726746986669484,0.3881488386251014,-0.00352184575410186
2017-08-06,0.40793,18.285,0.01,2017,1,0.01,0,0.40647093576339133,0.3869410055431621,0.4260008659836205,0.40793,0.40647093576339133,0.4260008659836205,0.3869410055431621,-0.001459064236608687
2017-08-07,0.40328,18.39,0.01,2017,1,0.01,0,0.4051368833840541,0.38563058645032355,0.4246431803177847,0.40328,0.4051368833840541,0.4246431803177847,0.38563058645032355,0.0018568833840540977
2017-08-08,0.40531,19.505,0.01,2017,1,0.01,0,0.4036083820528881,0.3841092529179989,0.4231075111877773,0.40531,0.4036083820528881,0.4231075111877773,0.3841092529179989,-0.0017016179471118775
2017-08-09,0.41637,20.465,0.01,2017,1,0.01,0,0.401900932506386,0.38239194532274234,0.42140991969002967,0.41637,0.401900932506386,0.42140991969002967,0.38239194532274234,-0.01446906749361404
2017-08-10,0.4119,17.18,0.01,2017,1,0.01,0,0.4003083558940732,0.3807682616755885,0.4198484501125578,0.4119,0.4003083558940732,0.4198484501125578,0.3807682616755885,-0.01159164410592678
2017-08-11,0.4023,19.195,0.01,2017,1,0.01,0,0.39876277570130597,0.3791757346998581,0.4183498167027539,0.4023,0.39876277570130597,0.4183498167027539,0.3791757346998581,-0.0035372242986940194
2017-08-12,0.40619,19.69,0.01,2017,1,0.01,0,0.39716553304437163,0.37754662268833716,0.4167844434004061,0.40619,0.39716553304437163,0.4167844434004061,0.37754662268833716,-0.009024466955628363
2017-08-13,0.41062,19.055,0.01,2017,1,0.01,0,0.39573196005909095,0.3761386530303899,0.41532526708779194,0.41062,0.39573196005909095,0.41532526708779194,0.3761386530303899,-0.014888039940909037
2017-08-14,0.40969,17.535,0.01,2017,1,0.01,0,0.39427968757311294,0.3746949106877889,0.41386446445843705,0.40969,0.39427968757311294,0.41386446445843705,0.3746949106877889,-0.015410312426887063
2017-08-15,0.40026,19.11,0.01,2017,1,0.01,0,0.3928465701575195,0.37320717534166653,0.41248596497337253,0.40026,0.3928465701575195,0.41248596497337253,0.37320717534166653,-0.007413429842480501
2017-08-16,0.40959,18.955,0.01,2017,1,0.01,0,0.39141607740497,0.37167406328173974,0.4111580915282002,0.40959,0.39141607740497,0.4111580915282002,0.37167406328173974,-0.018173922595030034
2017-08-17,0.4174,20.15,0.01,2017,1,0.01,0,0.3899335094936533,0.37007144940147935,0.40979556958582725,0.4174,0.3899335094936533,0.40979556958582725,0.37007144940147935,-0.027466490506346697
2017-08-18,0.40978,20.305,0.01,2017,1,0.01,0,0.3881891189753437,0.3682804514737179,0.40809778647696954,0.40978,0.3881891189753437,0.40809778647696954,0.3682804514737179,-0.021590881024656283
2017-08-19,0.39671,18.81,0.01,2017,1,0.01,0,0.38624885883476895,0.36631636424330977,0.4061813534262282,0.39671,0.38624885883476895,0.4061813534262282,0.36631636424330977,-0.010461141165231058
2017-08-20,0.39879,19.58,0.01,2017,1,0.01,0,0.3840984477704234,0.3641781494358917,0.4040187461049551,0.39879,0.3840984477704234,0.4040187461049551,0.3641781494358917,-0.014691552229576577
2017-08-21,0.3991,21.575,0.01,2017,1,0.01,0,0.3819935387892652,0.3620597078483592,0.4019273697301711,0.3991,0.3819935387892652,0.4019273697301711,0.3620597078483592,-0.017106461210734836
2017-08-22,0.38913,21.77,0.01,2017,1,0.01,0,0.37978470063645453,0.35988634844709755,0.3996830528258114,0.38913,0.37978470063645453,0.3996830528258114,0.35988634844709755,-0.009345299363545445
2017-08-23,0.38889,19.674999999999997,0.01,2017,1,0.01,0,0.37765983571951856,0.3577801405563454,0.39753953088269167,0.38889,0.37765983571951856,0.39753953088269167,0.3577801405563454,-0.011230164280481458
2017-08-24,0.38521,17.994999999999997,0.01,2017,1,0.01,0,0.3758121584277899,0.3558229471553547,0.39580136970022517,0.38521,0.3758121584277899,0.39580136970022517,0.3558229471553547,-0.009397841572210075
2017-08-25,0.38311,17.48,0.01,2017,1,0.01,0,0.37385343437902757,0.35377778713938346,0.39392908161867163,0.38311,0.37385343437902757,0.39392908161867163,0.35377778713938346,-0.009256565620972435
2017-08-26,0.38408,17.765,0.01,2017,1,0.01,0,0.37187166013566925,0.3517299754902091,0.39201334478112937,0.38408,0.37187166013566925,0.39201334478112937,0.3517299754902091,-0.01220833986433073
2017-08-27,0.38101,17.055,0.01,2017,1,0.01,0,0.36966157152745405,0.3495615785643785,0.38976156449052957,0.38101,0.36966157152745405,0.38976156449052957,0.3495615785643785,-0.011348428472545968
2017-08-28,0.38614,19.365,0.01,2017,1,0.01,0,0.3677172639788023,0.3475870107213764,0.3878475172362282,0.38614,0.3677172639788023,0.3878475172362282,0.3475870107213764,-0.018422736021197705
2017-08-29,0.37343,19.22,0.01,2017,1,0.01,0,0.36590198658461276,0.3456595318964041,0.3861444412728215,0.37343,0.36590198658461276,0.3861444412728215,0.3456595318964041,-0.007528013415387225
2017-08-30,0.36911,19.285,0.01,2017,1,0.01,0,0.36378693356441727,0.34359479665641024,0.38397907047242436,0.36911,0.36378693356441727,0.38397907047242436,0.34359479665641024,-0.005323066435582724
2017-08-31,0.36236,20.88,0.01,2017,1,0.01,0,0.36153373387937743,0.3414795725253168,0.38158789523343806,0.36236,0.36153373387937743,0.38158789523343806,0.3414795725253168,-8.262661206225874e-4
2017-09-01,0.36038,17.245,0.01,2017,1,0.01,0,0.35956775484146736,0.33962868645061095,0.37950682323232376,0.36038,0.35956775484146736,0.37950682323232376,0.33962868645061095,-8.122451585326207e-4
2017-09-02,0.35524,16.325,0.01,2017,1,0.01,0,0.35771637365956,0.33788154383914293,0.377551203479977,0.35524,0.35771637365956,0.377551203479977,0.33788154383914293,0.002476373659559994
2017-09-03,0.35274,19.130000000000003,0.01,2017,1,0.01,0,0.35609473953397014,0.33631416928371705,0.3758753097842232,0.35274,0.35609473953397014,0.3758753097842232,0.33631416928371705,0.0033547395339701414
2017-09-04,0.35116000000000003,20.189999999999998,0.01,2017,1,0.01,0,0.35453205969019674,0.33477362855717685,0.37429049082321664,0.35116000000000003,0.35453205969019674,0.37429049082321664,0.33477362855717685,0.003372059690196716
2017-09-05,0.36187,18.185000000000002,0.01,2017,1,0.01,0,0.3529884100720074,0.33322829662637293,0.37274852351764187,0.36187,0.3529884100720074,0.37274852351764187,0.33322829662637293,-0.00888158992799265
2017-09-06,0.3516,13.975000000000001,0.01,2017,1,0.01,0,0.3513238304598949,0.33159709830834444,0.3710505626114454,0.3516,0.3513238304598949,0.3710505626114454,0.33159709830834444,-2.7616954010512007e-4
2017-09-07,0.34868,13.745000000000001,0.01,2017,1,0.01,0,0.34962843242219044,0.32995364418496576,0.3693032206594151,0.34868,0.34962843242219044,0.3693032206594151,0.32995364418496576,9.484324221904483e-4
2017-09-08,0.34415,15.495,0.01,2017,1,0.01,0,0.34800706576393214,0.3283815210515458,0.3676326104763185,0.34415,0.34800706576393214,0.3676326104763185,0.3283815210515458,0.0038570657639321326
2017-09-09,0.34196,14.8,0.01,2017,1,0.01,0,0.34647268150375027,0.3268911448798765,0.36605421812762406,0.34196,0.34647268150375027,0.36605421812762406,0.3268911448798765,0.004512681503750282
2017-09-10,0.33739,17.115000000000002,0.01,2017,1,0.01,0,0.3452079285537742,0.32565223480609773,0.36476362230145065,0.33739,0.3452079285537742,0.36476362230145065,0.32565223480609773,0.007817928553774167
2017-09-11,0.34203,19.345,0.01,2017,1,0.01,0,0.3439147833652212,0.3244095745722798,0.3634199921581625,0.34203,0.3439147833652212,0.3634199921581625,0.3244095745722798,0.0018847833652211876
2017-09-12,0.33906,20.87,0.01,2017,1,0.01,0,0.3425575028235397,0.3231024237380669,0.3620125819090124,0.33906,0.3425575028235397,0.3620125819090124,0.3231024237380669,0.003497502823539722
2017-09-13,0.33976,21.315,0.01,2017,1,0.01,0,0.3415250825370709,0.3220337445485773,0.36101642052556454,0.33976,0.3415250825370709,0.36101642052556454,0.3220337445485773,0.0017650825370709167
2017-09-14,0.3482,22.46,0.01,2017,1,0.01,0,0.34059390354531677,0.32104707836617474,0.3601407287244588,0.3482,0.34059390354531677,0.3601407287244588,0.32104707836617474,-0.007606096454683242
